timestamp,RU_id,question_id,question,response,response_num
2025-10-22T17:19:38.289881+00:00,A001,A1,Feel little concern for others.,Very Inaccurate,1
2025-10-22T17:19:42.215676+00:00,A001,A2,Am interested in people.,Very Accurate,5
2025-10-22T17:19:43.151510+00:00,A001,A3,Insult people.,Very Inaccurate,1
2025-10-22T17:19:43.614290+00:00,A001,A4,Sympathize with others' feelings.,Very Accurate,5
2025-10-22T17:19:45.873604+00:00,A001,A5,Am not interested in other people's problems.,Very Inaccurate,1
2025-10-22T17:19:47.088894+00:00,A001,A6,Have a soft heart.,Very Accurate,5
2025-10-22T17:19:47.670024+00:00,A001,A7,Am not really interested in others.,Very Inaccurate,1
2025-10-22T17:19:48.202953+00:00,A001,A8,Take time out for others.,Very Accurate,5
2025-10-22T17:19:48.770341+00:00,A001,A9,Feel others' emotions.,Very Accurate,5
2025-10-22T17:19:49.336464+00:00,A001,A10,Make people feel at ease.,Very Accurate,5
2025-10-22T17:19:49.847749+00:00,A001,O1,Have a rich vocabulary.,Very Accurate,5
2025-10-22T17:19:50.821800+00:00,A001,O2,Have difficulty understanding abstract ideas.,Very Inaccurate,1
2025-10-22T17:19:52.676636+00:00,A001,O3,Have a vivid imagination.,Very Accurate,5
2025-10-22T17:19:53.256349+00:00,A001,O4,Am not interested in abstract ideas.,Very Inaccurate,1
2025-10-22T17:19:53.806010+00:00,A001,O5,Have excellent ideas.,Very Accurate,5
2025-10-22T17:19:54.309406+00:00,A001,O6,Do not have a good imagination.,Very Inaccurate,1
2025-10-22T17:19:56.060902+00:00,A001,O7,Am quick to understand things.,Very Accurate,5
2025-10-22T17:19:56.891708+00:00,A001,O8,Use difficult words.,Moderately Inaccurate,2
2025-10-22T17:19:57.431977+00:00,A001,O9,Spend time reflecting on things.,Very Accurate,5
2025-10-22T17:19:58.114182+00:00,A001,O10,Am full of ideas.,Very Accurate,5
2025-10-22T17:19:58.629160+00:00,A001,N1,Get stressed out easily.,Very Inaccurate,1
2025-10-22T17:19:59.303891+00:00,A001,N2,Am relaxed most of the time.,Moderately Accurate,4
2025-10-22T17:19:59.921310+00:00,A001,N3,Worry about things.,Moderately Inaccurate,2
2025-10-22T17:20:01.113313+00:00,A001,N4,Seldom feel blue.,Moderately Accurate,4
2025-10-22T17:20:02.023787+00:00,A001,N5,Am easily disturbed.,Very Inaccurate,1
2025-10-22T17:20:02.627836+00:00,A001,N6,Get upset easily.,Very Inaccurate,1
2025-10-22T17:20:03.055827+00:00,A001,N7,Change my mood a lot.,Moderately Inaccurate,2
2025-10-22T17:20:03.565737+00:00,A001,N8,Have frequent mood swings.,Very Inaccurate,1
2025-10-22T17:20:04.140765+00:00,A001,N9,Get irritated easily.,Very Inaccurate,1
2025-10-22T17:20:06.214587+00:00,A001,N10,Often feel blue.,Very Inaccurate,1
2025-10-22T17:20:06.722758+00:00,A001,E1,Am the life of the party.,Very Accurate,5
2025-10-22T17:20:07.396341+00:00,A001,E2,Don't talk a lot.,Very Inaccurate,1
2025-10-22T17:20:08.196830+00:00,A001,E3,Feel comfortable around people.,Very Accurate,5
2025-10-22T17:20:09.638893+00:00,A001,E4,Keep in the background.,Very Inaccurate,1
2025-10-22T17:20:10.021296+00:00,A001,E5,Start conversations.,Very Accurate,5
2025-10-22T17:20:10.684085+00:00,A001,E6,Have little to say.,Very Inaccurate,1
2025-10-22T17:20:11.309128+00:00,A001,E7,Talk to a lot of different people at parties.,Very Accurate,5
2025-10-22T17:20:11.875516+00:00,A001,E8,Don't like to draw attention to myself.,Very Inaccurate,1
2025-10-22T17:20:12.286351+00:00,A001,E9,Don't mind being the center of attention.,Very Accurate,5
2025-10-22T17:20:13.742454+00:00,A001,E10,Am quiet around strangers.,Very Inaccurate,1
2025-10-22T17:20:14.356466+00:00,A001,C1,Am always prepared.,Very Accurate,5
2025-10-22T17:20:15.030002+00:00,A001,C2,Leave my belongings around.,Very Inaccurate,1
2025-10-22T17:20:15.666787+00:00,A001,C3,Pay attention to details.,Very Accurate,5
2025-10-22T17:20:16.256589+00:00,A001,C4,Make a mess of things.,Very Inaccurate,1
2025-10-22T17:20:16.854555+00:00,A001,C5,Get chores done right away.,Very Accurate,5
2025-10-22T17:20:17.574361+00:00,A001,C6,Often forget to put things back in their proper place.,Very Inaccurate,1
2025-10-22T17:20:18.061717+00:00,A001,C7,Like order.,Very Accurate,5
2025-10-22T17:20:19.000287+00:00,A001,C8,Shirk my duties.,Very Inaccurate,1
2025-10-22T17:20:19.589892+00:00,A001,C9,Follow a schedule.,Very Accurate,5
2025-10-22T17:20:20.812327+00:00,A001,C10,Am exacting in my work.,Very Accurate,5
2025-10-22T17:20:21.391458+00:00,A002,A1,Feel little concern for others.,Very Inaccurate,1
2025-10-22T17:20:22.178519+00:00,A002,A2,Am interested in people.,Very Accurate,5
2025-10-22T17:20:22.637355+00:00,A002,A3,Insult people.,Very Inaccurate,1
2025-10-22T17:20:23.172538+00:00,A002,A4,Sympathize with others' feelings.,Very Accurate,5
2025-10-22T17:20:23.571114+00:00,A002,A5,Am not interested in other people's problems.,Very Inaccurate,1
2025-10-22T17:20:24.155647+00:00,A002,A6,Have a soft heart.,Very Accurate,5
2025-10-22T17:20:24.751594+00:00,A002,A7,Am not really interested in others.,Very Inaccurate,1
2025-10-22T17:20:25.496152+00:00,A002,A8,Take time out for others.,Very Accurate,5
2025-10-22T17:20:25.998135+00:00,A002,A9,Feel others' emotions.,Very Accurate,5
2025-10-22T17:20:26.378914+00:00,A002,A10,Make people feel at ease.,Very Accurate,5
2025-10-22T17:20:27.684736+00:00,A002,O1,Have a rich vocabulary.,Very Accurate,5
2025-10-22T17:20:28.272850+00:00,A002,O2,Have difficulty understanding abstract ideas.,Very Inaccurate,1
2025-10-22T17:20:28.735396+00:00,A002,O3,Have a vivid imagination.,Moderately Accurate,4
2025-10-22T17:20:29.223824+00:00,A002,O4,Am not interested in abstract ideas.,Very Inaccurate,1
2025-10-22T17:20:29.794415+00:00,A002,O5,Have excellent ideas.,Very Accurate,5
2025-10-22T17:20:30.360232+00:00,A002,O6,Do not have a good imagination.,Very Inaccurate,1
2025-10-22T17:20:30.969466+00:00,A002,O7,Am quick to understand things.,Very Accurate,5
2025-10-22T17:20:31.591104+00:00,A002,O8,Use difficult words.,Very Inaccurate,1
2025-10-22T17:20:32.087454+00:00,A002,O9,Spend time reflecting on things.,Very Accurate,5
2025-10-22T17:20:32.654861+00:00,A002,O10,Am full of ideas.,Very Accurate,5
2025-10-22T17:20:33.184146+00:00,A002,N1,Get stressed out easily.,Very Inaccurate,1
2025-10-22T17:20:33.836611+00:00,A002,N2,Am relaxed most of the time.,Moderately Accurate,4
2025-10-22T17:20:34.513992+00:00,A002,N3,Worry about things.,Moderately Inaccurate,2
2025-10-22T17:20:35.122469+00:00,A002,N4,Seldom feel blue.,Very Accurate,5
2025-10-22T17:20:35.953124+00:00,A002,N5,Am easily disturbed.,Very Inaccurate,1
2025-10-22T17:20:36.754333+00:00,A002,N6,Get upset easily.,Very Inaccurate,1
2025-10-22T17:20:37.301259+00:00,A002,N7,Change my mood a lot.,Very Inaccurate,1
2025-10-22T17:20:38.704295+00:00,A002,N8,Have frequent mood swings.,Very Inaccurate,1
2025-10-22T17:20:39.219058+00:00,A002,N9,Get irritated easily.,Very Inaccurate,1
2025-10-22T17:20:39.852333+00:00,A002,N10,Often feel blue.,Very Inaccurate,1
2025-10-22T17:20:40.473325+00:00,A002,E1,Am the life of the party.,Very Inaccurate,1
2025-10-22T17:20:41.049359+00:00,A002,E2,Don't talk a lot.,Very Inaccurate,1
2025-10-22T17:20:41.622279+00:00,A002,E3,Feel comfortable around people.,Very Accurate,5
2025-10-22T17:20:42.239394+00:00,A002,E4,Keep in the background.,Very Inaccurate,1
2025-10-22T17:20:42.755723+00:00,A002,E5,Start conversations.,Very Accurate,5
2025-10-22T17:20:43.406266+00:00,A002,E6,Have little to say.,Very Inaccurate,1
2025-10-22T17:20:44.089006+00:00,A002,E7,Talk to a lot of different people at parties.,Moderately Accurate,4
2025-10-22T17:20:44.998205+00:00,A002,E8,Don't like to draw attention to myself.,Very Inaccurate,1
2025-10-22T17:20:45.771810+00:00,A002,E9,Don't mind being the center of attention.,Very Inaccurate,1
2025-10-22T17:20:46.239419+00:00,A002,E10,Am quiet around strangers.,Moderately Accurate,4
2025-10-22T17:20:46.831284+00:00,A002,C1,Am always prepared.,Very Accurate,5
2025-10-22T17:20:47.468558+00:00,A002,C2,Leave my belongings around.,Very Inaccurate,1
2025-10-22T17:20:48.089762+00:00,A002,C3,Pay attention to details.,Very Accurate,5
2025-10-22T17:20:48.839554+00:00,A002,C4,Make a mess of things.,Very Inaccurate,1
2025-10-22T17:20:49.472849+00:00,A002,C5,Get chores done right away.,Very Accurate,5
2025-10-22T17:20:50.405721+00:00,A002,C6,Often forget to put things back in their proper place.,Very Inaccurate,1
2025-10-22T17:20:50.896526+00:00,A002,C7,Like order.,Very Accurate,5
2025-10-22T17:20:51.438932+00:00,A002,C8,Shirk my duties.,Very Inaccurate,1
2025-10-22T17:20:51.988960+00:00,A002,C9,Follow a schedule.,Very Accurate,5
2025-10-22T17:20:52.705604+00:00,A002,C10,Am exacting in my work.,Very Accurate,5
2025-10-22T17:20:53.672896+00:00,A003,A1,Feel little concern for others.,Very Inaccurate,1
2025-10-22T17:20:54.472348+00:00,A003,A2,Am interested in people.,Very Accurate,5
2025-10-22T17:20:55.189083+00:00,A003,A3,Insult people.,Very Inaccurate,1
2025-10-22T17:20:55.688968+00:00,A003,A4,Sympathize with others' feelings.,Very Accurate,5
2025-10-22T17:20:56.255828+00:00,A003,A5,Am not interested in other people's problems.,Very Inaccurate,1
2025-10-22T17:20:56.838831+00:00,A003,A6,Have a soft heart.,Very Accurate,5
2025-10-22T17:20:57.373053+00:00,A003,A7,Am not really interested in others.,Very Inaccurate,1
2025-10-22T17:20:58.762357+00:00,A003,A8,Take time out for others.,Very Accurate,5
2025-10-22T17:20:59.336791+00:00,A003,A9,Feel others' emotions.,Very Accurate,5
2025-10-22T17:20:59.717597+00:00,A003,A10,Make people feel at ease.,Very Accurate,5
2025-10-22T17:21:00.115673+00:00,A003,O1,Have a rich vocabulary.,Very Accurate,5
2025-10-22T17:21:01.425754+00:00,A003,O2,Have difficulty understanding abstract ideas.,Very Inaccurate,1
2025-10-22T17:21:01.800230+00:00,A003,O3,Have a vivid imagination.,Moderately Accurate,4
2025-10-22T17:21:02.634931+00:00,A003,O4,Am not interested in abstract ideas.,Very Inaccurate,1
2025-10-22T17:21:03.249851+00:00,A003,O5,Have excellent ideas.,Very Accurate,5
2025-10-22T17:21:03.732287+00:00,A003,O6,Do not have a good imagination.,Very Inaccurate,1
2025-10-22T17:21:05.161734+00:00,A003,O7,Am quick to understand things.,Moderately Accurate,4
2025-10-22T17:21:06.006682+00:00,A003,O8,Use difficult words.,Very Inaccurate,1
2025-10-22T17:21:06.921025+00:00,A003,O9,Spend time reflecting on things.,Very Accurate,5
2025-10-22T17:21:07.682806+00:00,A003,O10,Am full of ideas.,Moderately Accurate,4
2025-10-22T17:21:08.211147+00:00,A003,N1,Get stressed out easily.,Very Inaccurate,1
2025-10-22T17:21:08.655242+00:00,A003,N2,Am relaxed most of the time.,Very Accurate,5
2025-10-22T17:21:09.231600+00:00,A003,N3,Worry about things.,Moderately Inaccurate,2
2025-10-22T17:21:09.602806+00:00,A003,N4,Seldom feel blue.,Very Accurate,5
2025-10-22T17:21:10.190275+00:00,A003,N5,Am easily disturbed.,Very Inaccurate,1
2025-10-22T17:21:10.809624+00:00,A003,N6,Get upset easily.,Very Inaccurate,1
2025-10-22T17:21:11.515448+00:00,A003,N7,Change my mood a lot.,Very Inaccurate,1
2025-10-22T17:21:12.015157+00:00,A003,N8,Have frequent mood swings.,Very Inaccurate,1
2025-10-22T17:21:12.720389+00:00,A003,N9,Get irritated easily.,Very Inaccurate,1
2025-10-22T17:21:14.093255+00:00,A003,N10,Often feel blue.,Moderately Inaccurate,2
2025-10-22T17:21:14.663517+00:00,A003,E1,Am the life of the party.,Very Inaccurate,1
2025-10-22T17:21:15.178272+00:00,A003,E2,Don't talk a lot.,Moderately Accurate,4
2025-10-22T17:21:15.624987+00:00,A003,E3,Feel comfortable around people.,Very Accurate,5
2025-10-22T17:21:16.156489+00:00,A003,E4,Keep in the background.,Very Inaccurate,1
2025-10-22T17:21:16.575930+00:00,A003,E5,Start conversations.,Very Accurate,5
2025-10-22T17:21:17.275336+00:00,A003,E6,Have little to say.,Very Inaccurate,1
2025-10-22T17:21:17.988840+00:00,A003,E7,Talk to a lot of different people at parties.,Very Inaccurate,1
2025-10-22T17:21:18.394639+00:00,A003,E8,Don't like to draw attention to myself.,Very Accurate,5
2025-10-22T17:21:18.928129+00:00,A003,E9,Don't mind being the center of attention.,Very Inaccurate,1
2025-10-22T17:21:19.500926+00:00,A003,E10,Am quiet around strangers.,Moderately Accurate,4
2025-10-22T17:21:20.133712+00:00,A003,C1,Am always prepared.,Very Accurate,5
2025-10-22T17:21:20.539851+00:00,A003,C2,Leave my belongings around.,Very Inaccurate,1
2025-10-22T17:21:21.208361+00:00,A003,C3,Pay attention to details.,Very Accurate,5
2025-10-22T17:21:21.825032+00:00,A003,C4,Make a mess of things.,Very Inaccurate,1
2025-10-22T17:21:22.434301+00:00,A003,C5,Get chores done right away.,Moderately Accurate,4
2025-10-22T17:21:22.957747+00:00,A003,C6,Often forget to put things back in their proper place.,Very Inaccurate,1
2025-10-22T17:21:23.347828+00:00,A003,C7,Like order.,Very Accurate,5
2025-10-22T17:21:23.736246+00:00,A003,C8,Shirk my duties.,Very Inaccurate,1
2025-10-22T17:21:24.516415+00:00,A003,C9,Follow a schedule.,Very Accurate,5
2025-10-22T17:21:24.954196+00:00,A003,C10,Am exacting in my work.,Moderately Accurate,4
2025-10-22T17:21:25.426912+00:00,A004,A1,Feel little concern for others.,Very Inaccurate,1
2025-10-22T17:21:25.970792+00:00,A004,A2,Am interested in people.,Moderately Accurate,4
2025-10-22T17:21:26.607822+00:00,A004,A3,Insult people.,Very Inaccurate,1
2025-10-22T17:21:27.688848+00:00,A004,A4,Sympathize with others' feelings.,Moderately Accurate,4
2025-10-22T17:21:28.085439+00:00,A004,A5,Am not interested in other people's problems.,Very Inaccurate,1
2025-10-22T17:21:29.078685+00:00,A004,A6,Have a soft heart.,Moderately Accurate,4
2025-10-22T17:21:29.610803+00:00,A004,A7,Am not really interested in others.,Very Inaccurate,1
2025-10-22T17:21:30.020718+00:00,A004,A8,Take time out for others.,Moderately Accurate,4
2025-10-22T17:21:30.681295+00:00,A004,A9,Feel others' emotions.,Moderately Accurate,4
2025-10-22T17:21:31.357667+00:00,A004,A10,Make people feel at ease.,Moderately Accurate,4
2025-10-22T17:21:31.883220+00:00,A004,O1,Have a rich vocabulary.,Moderately Accurate,4
2025-10-22T17:21:32.438520+00:00,A004,O2,Have difficulty understanding abstract ideas.,Moderately Inaccurate,2
2025-10-22T17:21:33.170694+00:00,A004,O3,Have a vivid imagination.,Moderately Inaccurate,2
2025-10-22T17:21:33.728097+00:00,A004,O4,Am not interested in abstract ideas.,Very Inaccurate,1
2025-10-22T17:21:34.908122+00:00,A004,O5,Have excellent ideas.,Moderately Accurate,4
2025-10-22T17:21:35.501351+00:00,A004,O6,Do not have a good imagination.,Moderately Inaccurate,2
2025-10-22T17:21:36.179532+00:00,A004,O7,Am quick to understand things.,Moderately Accurate,4
2025-10-22T17:21:36.782110+00:00,A004,O8,Use difficult words.,Moderately Inaccurate,2
2025-10-22T17:21:37.797279+00:00,A004,O9,Spend time reflecting on things.,Moderately Accurate,4
2025-10-22T17:21:38.304426+00:00,A004,O10,Am full of ideas.,Moderately Accurate,4
2025-10-22T17:21:38.831177+00:00,A004,N1,Get stressed out easily.,Moderately Accurate,4
2025-10-22T17:21:39.267010+00:00,A004,N2,Am relaxed most of the time.,Moderately Accurate,4
2025-10-22T17:21:40.037785+00:00,A004,N3,Worry about things.,Moderately Accurate,4
2025-10-22T17:21:41.072541+00:00,A004,N4,Seldom feel blue.,Moderately Accurate,4
2025-10-22T17:21:41.718345+00:00,A004,N5,Am easily disturbed.,Moderately Inaccurate,2
2025-10-22T17:21:42.204875+00:00,A004,N6,Get upset easily.,Moderately Inaccurate,2
2025-10-22T17:21:42.906698+00:00,A004,N7,Change my mood a lot.,Moderately Inaccurate,2
2025-10-22T17:21:43.922870+00:00,A004,N8,Have frequent mood swings.,Moderately Inaccurate,2
2025-10-22T17:21:44.429254+00:00,A004,N9,Get irritated easily.,Moderately Inaccurate,2
2025-10-22T17:21:45.276466+00:00,A004,N10,Often feel blue.,Moderately Inaccurate,2
2025-10-22T17:21:45.870958+00:00,A004,E1,Am the life of the party.,Very Inaccurate,1
2025-10-22T17:21:48.570741+00:00,A004,E2,Don't talk a lot.,Moderately Inaccurate,2
2025-10-22T17:21:49.086384+00:00,A004,E3,Feel comfortable around people.,Moderately Accurate,4
2025-10-22T17:21:50.152918+00:00,A004,E4,Keep in the background.,Moderately Inaccurate,2
2025-10-22T17:21:50.814194+00:00,A004,E5,Start conversations.,Moderately Accurate,4
2025-10-22T17:21:51.485905+00:00,A004,E6,Have little to say.,Very Inaccurate,1
2025-10-22T17:21:52.078600+00:00,A004,E7,Talk to a lot of different people at parties.,Moderately Inaccurate,2
2025-10-22T17:21:52.548383+00:00,A004,E8,Don't like to draw attention to myself.,Moderately Accurate,4
2025-10-22T17:21:53.407402+00:00,A004,E9,Don't mind being the center of attention.,Moderately Inaccurate,2
2025-10-22T17:21:53.959227+00:00,A004,E10,Am quiet around strangers.,Moderately Accurate,4
2025-10-22T17:21:54.798386+00:00,A004,C1,Am always prepared.,Moderately Accurate,4
2025-10-22T17:21:56.086313+00:00,A004,C2,Leave my belongings around.,Very Inaccurate,1
2025-10-22T17:21:56.767206+00:00,A004,C3,Pay attention to details.,Moderately Accurate,4
2025-10-22T17:21:57.740547+00:00,A004,C4,Make a mess of things.,Very Inaccurate,1
2025-10-22T17:21:58.422874+00:00,A004,C5,Get chores done right away.,Moderately Accurate,4
2025-10-22T17:22:00.455233+00:00,A004,C6,Often forget to put things back in their proper place.,Moderately Inaccurate,2
2025-10-22T17:22:01.242631+00:00,A004,C7,Like order.,Moderately Accurate,4
2025-10-22T17:22:01.970707+00:00,A004,C8,Shirk my duties.,Very Inaccurate,1
2025-10-22T17:22:02.488048+00:00,A004,C9,Follow a schedule.,Moderately Accurate,4
2025-10-22T17:22:03.019494+00:00,A004,C10,Am exacting in my work.,Moderately Accurate,4
2025-10-22T17:22:03.517994+00:00,A005,A1,Feel little concern for others.,Very Inaccurate,1
2025-10-22T17:22:04.064572+00:00,A005,A2,Am interested in people.,Very Accurate,5
2025-10-22T17:22:04.674048+00:00,A005,A3,Insult people.,Very Inaccurate,1
2025-10-22T17:22:05.189051+00:00,A005,A4,Sympathize with others' feelings.,Very Accurate,5
2025-10-22T17:22:05.902792+00:00,A005,A5,Am not interested in other people's problems.,Very Inaccurate,1
2025-10-22T17:22:06.266387+00:00,A005,A6,Have a soft heart.,Very Accurate,5
2025-10-22T17:22:07.267414+00:00,A005,A7,Am not really interested in others.,Very Inaccurate,1
2025-10-22T17:22:07.615325+00:00,A005,A8,Take time out for others.,Very Accurate,5
2025-10-22T17:22:08.300209+00:00,A005,A9,Feel others' emotions.,Very Accurate,5
2025-10-22T17:22:08.755675+00:00,A005,A10,Make people feel at ease.,Very Accurate,5
2025-10-22T17:22:09.151247+00:00,A005,O1,Have a rich vocabulary.,Very Accurate,5
2025-10-22T17:22:09.533924+00:00,A005,O2,Have difficulty understanding abstract ideas.,Very Inaccurate,1
2025-10-22T17:22:09.872299+00:00,A005,O3,Have a vivid imagination.,Very Accurate,5
2025-10-22T17:22:10.238451+00:00,A005,O4,Am not interested in abstract ideas.,Very Inaccurate,1
2025-10-22T17:22:10.549036+00:00,A005,O5,Have excellent ideas.,Very Accurate,5
2025-10-22T17:22:11.095179+00:00,A005,O6,Do not have a good imagination.,Very Inaccurate,1
2025-10-22T17:22:11.485477+00:00,A005,O7,Am quick to understand things.,Very Accurate,5
2025-10-22T17:22:12.731339+00:00,A005,O8,Use difficult words.,Moderately Accurate,4
2025-10-22T17:22:13.111316+00:00,A005,O9,Spend time reflecting on things.,Very Accurate,5
2025-10-22T17:22:13.596797+00:00,A005,O10,Am full of ideas.,Very Accurate,5
2025-10-22T17:22:14.330569+00:00,A005,N1,Get stressed out easily.,Very Inaccurate,1
2025-10-22T17:22:14.735281+00:00,A005,N2,Am relaxed most of the time.,Moderately Accurate,4
2025-10-22T17:22:15.313998+00:00,A005,N3,Worry about things.,Moderately Inaccurate,2
2025-10-22T17:22:15.970738+00:00,A005,N4,Seldom feel blue.,Very Accurate,5
2025-10-22T17:22:16.465458+00:00,A005,N5,Am easily disturbed.,Very Inaccurate,1
2025-10-22T17:22:16.939347+00:00,A005,N6,Get upset easily.,Very Inaccurate,1
2025-10-22T17:22:17.543783+00:00,A005,N7,Change my mood a lot.,Very Inaccurate,1
2025-10-22T17:22:18.267660+00:00,A005,N8,Have frequent mood swings.,Very Inaccurate,1
2025-10-22T17:22:18.808345+00:00,A005,N9,Get irritated easily.,Very Inaccurate,1
2025-10-22T17:22:19.187710+00:00,A005,N10,Often feel blue.,Very Inaccurate,1
2025-10-22T17:22:19.818764+00:00,A005,E1,Am the life of the party.,Moderately Accurate,4
2025-10-22T17:22:20.274536+00:00,A005,E2,Don't talk a lot.,Very Inaccurate,1
2025-10-22T17:22:21.302458+00:00,A005,E3,Feel comfortable around people.,Very Accurate,5
2025-10-22T17:22:22.347741+00:00,A005,E4,Keep in the background.,Very Inaccurate,1
2025-10-22T17:22:22.923771+00:00,A005,E5,Start conversations.,Very Accurate,5
2025-10-22T17:22:24.250775+00:00,A005,E6,Have little to say.,Very Inaccurate,1
2025-10-22T17:22:24.657566+00:00,A005,E7,Talk to a lot of different people at parties.,Very Accurate,5
2025-10-22T17:22:25.094657+00:00,A005,E8,Don't like to draw attention to myself.,Very Inaccurate,1
2025-10-22T17:22:25.643076+00:00,A005,E9,Don't mind being the center of attention.,Moderately Accurate,4
2025-10-22T17:22:26.298545+00:00,A005,E10,Am quiet around strangers.,Moderately Inaccurate,2
2025-10-22T17:22:26.747993+00:00,A005,C1,Am always prepared.,Very Accurate,5
2025-10-22T17:22:27.220700+00:00,A005,C2,Leave my belongings around.,Very Inaccurate,1
2025-10-22T17:22:27.738180+00:00,A005,C3,Pay attention to details.,Very Accurate,5
2025-10-22T17:22:28.321726+00:00,A005,C4,Make a mess of things.,Very Inaccurate,1
2025-10-22T17:22:29.426930+00:00,A005,C5,Get chores done right away.,Very Accurate,5
2025-10-22T17:22:29.854052+00:00,A005,C6,Often forget to put things back in their proper place.,Very Inaccurate,1
2025-10-22T17:22:31.308207+00:00,A005,C7,Like order.,Very Accurate,5
2025-10-22T17:22:31.704923+00:00,A005,C8,Shirk my duties.,Very Inaccurate,1
2025-10-22T17:22:33.859883+00:00,A005,C9,Follow a schedule.,Very Accurate,5
2025-10-22T17:22:34.345153+00:00,A005,C10,Am exacting in my work.,Very Accurate,5
2025-10-22T17:22:35.438990+00:00,A006,A1,Feel little concern for others.,Very Inaccurate,1
2025-10-22T17:22:35.870670+00:00,A006,A2,Am interested in people.,Very Accurate,5
2025-10-22T17:22:36.611531+00:00,A006,A3,Insult people.,Very Inaccurate,1
2025-10-22T17:22:37.186658+00:00,A006,A4,Sympathize with others' feelings.,Very Accurate,5
2025-10-22T17:22:37.625933+00:00,A006,A5,Am not interested in other people's problems.,Very Inaccurate,1
2025-10-22T17:22:39.501333+00:00,A006,A6,Have a soft heart.,Very Accurate,5
2025-10-22T17:22:40.737656+00:00,A006,A7,Am not really interested in others.,Very Inaccurate,1
2025-10-22T17:22:41.267144+00:00,A006,A8,Take time out for others.,Very Accurate,5
2025-10-22T17:22:42.085776+00:00,A006,A9,Feel others' emotions.,Very Accurate,5
2025-10-22T17:22:42.603490+00:00,A006,A10,Make people feel at ease.,Very Accurate,5
2025-10-22T17:22:43.220742+00:00,A006,O1,Have a rich vocabulary.,Very Accurate,5
2025-10-22T17:22:43.893222+00:00,A006,O2,Have difficulty understanding abstract ideas.,Very Inaccurate,1
2025-10-22T17:22:44.520187+00:00,A006,O3,Have a vivid imagination.,Very Accurate,5
2025-10-22T17:22:45.907083+00:00,A006,O4,Am not interested in abstract ideas.,Very Inaccurate,1
2025-10-22T17:22:46.627863+00:00,A006,O5,Have excellent ideas.,Very Accurate,5
2025-10-22T17:22:47.204627+00:00,A006,O6,Do not have a good imagination.,Very Inaccurate,1
2025-10-22T17:22:48.079960+00:00,A006,O7,Am quick to understand things.,Very Accurate,5
2025-10-22T17:22:48.689774+00:00,A006,O8,Use difficult words.,Very Inaccurate,1
2025-10-22T17:22:49.314656+00:00,A006,O9,Spend time reflecting on things.,Very Accurate,5
2025-10-22T17:22:49.781744+00:00,A006,O10,Am full of ideas.,Very Accurate,5
2025-10-22T17:22:50.532811+00:00,A006,N1,Get stressed out easily.,Very Inaccurate,1
2025-10-22T17:22:51.399429+00:00,A006,N2,Am relaxed most of the time.,Moderately Accurate,4
2025-10-22T17:22:52.129024+00:00,A006,N3,Worry about things.,Moderately Inaccurate,2
2025-10-22T17:22:52.766695+00:00,A006,N4,Seldom feel blue.,Moderately Accurate,4
