timestamp,RU_id,question_id,question,response,response_num
2025-11-08T03:15:24.420038+00:00,RU_209,A1,Feel little concern for others.,Very Inaccurate,1
2025-11-08T03:15:27.113278+00:00,RU_209,A2,Am interested in people.,Very Accurate,5
2025-11-08T03:15:28.042516+00:00,RU_209,A3,Insult people.,Very Inaccurate,1
2025-11-08T03:15:28.607348+00:00,RU_209,A4,Sympathize with others' feelings.,Very Accurate,5
2025-11-08T03:15:29.651630+00:00,RU_209,A5,Am not interested in other people's problems.,Very Inaccurate,1
2025-11-08T03:15:30.870177+00:00,RU_209,A6,Have a soft heart.,Very Accurate,5
2025-11-08T03:15:31.507124+00:00,RU_209,A7,Am not really interested in others.,Very Inaccurate,1
2025-11-08T03:15:32.032177+00:00,RU_209,A8,Take time out for others.,Very Accurate,5
2025-11-08T03:15:32.633712+00:00,RU_209,A9,Feel others' emotions.,Very Accurate,5
2025-11-08T03:15:33.214275+00:00,RU_209,A10,Make people feel at ease.,Very Accurate,5
2025-11-08T03:15:33.778143+00:00,RU_209,O1,Have a rich vocabulary.,Very Accurate,5
2025-11-08T03:15:34.386196+00:00,RU_209,O2,Have difficulty understanding abstract ideas.,Very Inaccurate,1
2025-11-08T03:15:34.911291+00:00,RU_209,O3,Have a vivid imagination.,Very Accurate,5
2025-11-08T03:15:35.306307+00:00,RU_209,O4,Am not interested in abstract ideas.,Very Inaccurate,1
2025-11-08T03:15:35.870304+00:00,RU_209,O5,Have excellent ideas.,Very Accurate,5
2025-11-08T03:15:36.431221+00:00,RU_209,O6,Do not have a good imagination.,Very Inaccurate,1
2025-11-08T03:15:36.996723+00:00,RU_209,O7,Am quick to understand things.,Very Accurate,5
2025-11-08T03:15:37.498886+00:00,RU_209,O8,Use difficult words.,Moderately Inaccurate,2
2025-11-08T03:15:38.542397+00:00,RU_209,O9,Spend time reflecting on things.,Very Accurate,5
2025-11-08T03:15:39.294386+00:00,RU_209,O10,Am full of ideas.,Very Accurate,5
2025-11-08T03:15:39.863593+00:00,RU_209,N1,Get stressed out easily.,Very Inaccurate,1
2025-11-08T03:15:40.437417+00:00,RU_209,N2,Am relaxed most of the time.,Moderately Accurate,4
2025-11-08T03:15:41.010597+00:00,RU_209,N3,Worry about things.,Moderately Inaccurate,2
2025-11-08T03:15:41.627277+00:00,RU_209,N4,Seldom feel blue.,Moderately Accurate,4
2025-11-08T03:15:42.182664+00:00,RU_209,N5,Am easily disturbed.,Very Inaccurate,1
2025-11-08T03:15:42.822968+00:00,RU_209,N6,Get upset easily.,Very Inaccurate,1
2025-11-08T03:15:43.451150+00:00,RU_209,N7,Change my mood a lot.,Moderately Accurate,4
2025-11-08T03:15:43.978667+00:00,RU_209,N8,Have frequent mood swings.,Very Inaccurate,1
2025-11-08T03:15:44.615267+00:00,RU_209,N9,Get irritated easily.,Very Inaccurate,1
2025-11-08T03:15:45.291864+00:00,RU_209,N10,Often feel blue.,Very Inaccurate,1
2025-11-08T03:15:45.774960+00:00,RU_209,E1,Am the life of the party.,Very Accurate,5
2025-11-08T03:15:46.150059+00:00,RU_209,E2,Don't talk a lot.,Very Inaccurate,1
2025-11-08T03:15:46.594822+00:00,RU_209,E3,Feel comfortable around people.,Very Accurate,5
2025-11-08T03:15:47.014845+00:00,RU_209,E4,Keep in the background.,Very Inaccurate,1
2025-11-08T03:15:47.564111+00:00,RU_209,E5,Start conversations.,Very Accurate,5
2025-11-08T03:15:48.190762+00:00,RU_209,E6,Have little to say.,Very Inaccurate,1
2025-11-08T03:15:48.783782+00:00,RU_209,E7,Talk to a lot of different people at parties.,Very Accurate,5
2025-11-08T03:15:49.351030+00:00,RU_209,E8,Don't like to draw attention to myself.,Very Inaccurate,1
2025-11-08T03:15:50.024738+00:00,RU_209,E9,Don't mind being the center of attention.,Very Accurate,5
