timestamp,RU_id,question_id,question,response,response_num
2025-11-11T19:27:42.498205+00:00,RU_055,A1,Feel little concern for others.,Very Inaccurate,1
2025-11-11T19:27:43.307758+00:00,RU_055,A2,Am interested in people.,Very Accurate,5
2025-11-11T19:27:44.148291+00:00,RU_055,A3,Insult people.,Very Inaccurate,1
2025-11-11T19:27:44.945351+00:00,RU_055,A4,Sympathize with others' feelings.,Very Accurate,5
2025-11-11T19:27:45.968090+00:00,RU_055,A5,Am not interested in other people's problems.,Very Inaccurate,1
2025-11-11T19:27:48.324472+00:00,RU_055,A6,Have a soft heart.,Very Accurate,5
2025-11-11T19:27:49.146266+00:00,RU_055,A7,Am not really interested in others.,Very Inaccurate,1
2025-11-11T19:27:49.860072+00:00,RU_055,A8,Take time out for others.,Very Accurate,5
2025-11-11T19:27:50.578449+00:00,RU_055,A9,Feel others' emotions.,Very Accurate,5
2025-11-11T19:27:51.397160+00:00,RU_055,A10,Make people feel at ease.,Very Accurate,5
2025-11-11T19:27:52.420604+00:00,RU_055,O1,Have a rich vocabulary.,Moderately Accurate,4
2025-11-11T19:27:53.137602+00:00,RU_055,O2,Have difficulty understanding abstract ideas.,Very Inaccurate,1
2025-11-11T19:27:53.751485+00:00,RU_055,O3,Have a vivid imagination.,Moderately Accurate,4
2025-11-11T19:27:54.769446+00:00,RU_055,O4,Am not interested in abstract ideas.,Very Inaccurate,1
2025-11-11T19:27:55.594882+00:00,RU_055,O5,Have excellent ideas.,Moderately Accurate,4
2025-11-11T19:27:56.327572+00:00,RU_055,O6,Do not have a good imagination.,Moderately Accurate,4
2025-11-11T19:27:57.128206+00:00,RU_055,O7,Am quick to understand things.,Moderately Accurate,4
2025-11-11T19:27:57.951240+00:00,RU_055,O8,Use difficult words.,Very Inaccurate,1
2025-11-11T19:27:59.078351+00:00,RU_055,O9,Spend time reflecting on things.,Very Accurate,5
2025-11-11T19:27:59.383311+00:00,RU_055,O10,Am full of ideas.,Moderately Accurate,4
2025-11-11T19:28:00.379870+00:00,RU_055,N1,Get stressed out easily.,Moderately Inaccurate,2
2025-11-11T19:28:01.428225+00:00,RU_055,N2,Am relaxed most of the time.,Moderately Accurate,4
2025-11-11T19:28:02.012058+00:00,RU_055,N3,Worry about things.,Moderately Accurate,4
2025-11-11T19:28:02.887148+00:00,RU_055,N4,Seldom feel blue.,Moderately Accurate,4
2025-11-11T19:28:04.710236+00:00,RU_055,N5,Am easily disturbed.,Very Inaccurate,1
2025-11-11T19:28:05.527753+00:00,RU_055,N6,Get upset easily.,Very Inaccurate,1
2025-11-11T19:28:06.246121+00:00,RU_055,N7,Change my mood a lot.,Moderately Accurate,4
2025-11-11T19:28:07.065079+00:00,RU_055,N8,Have frequent mood swings.,Very Inaccurate,1
2025-11-11T19:28:08.500244+00:00,RU_055,N9,Get irritated easily.,Very Inaccurate,1
2025-11-11T19:28:08.907861+00:00,RU_055,N10,Often feel blue.,Moderately Inaccurate,2
2025-11-11T19:28:10.343177+00:00,RU_055,E1,Am the life of the party.,Moderately Inaccurate,2
2025-11-11T19:28:10.980650+00:00,RU_055,E2,Don't talk a lot.,Moderately Accurate,4
