agent_id,procedure,outcome,condition,rating
A001,Fair,Loss,Fair_Loss,4
A001,Fair,Gain,Fair_Gain,6
A001,Unfair,Loss,Unfair_Loss,5
A001,Unfair,Gain,Unfair_Gain,5
A002,Fair,Loss,Fair_Loss,4
A002,Fair,Gain,Fair_Gain,6
A002,Unfair,Loss,Unfair_Loss,5
A002,Unfair,Gain,Unfair_Gain,6
A003,Fair,Loss,Fair_Loss,4
A003,Fair,Gain,Fair_Gain,6
A003,Unfair,Loss,Unfair_Loss,5
A003,Unfair,Gain,Unfair_Gain,6
A004,Fair,Loss,Fair_Loss,4
A004,Fair,Gain,Fair_Gain,5
A004,Unfair,Loss,Unfair_Loss,6
A004,Unfair,Gain,Unfair_Gain,4
A005,Fair,Loss,Fair_Loss,4
A005,Fair,Gain,Fair_Gain,4
A005,Unfair,Loss,Unfair_Loss,5
A005,Unfair,Gain,Unfair_Gain,5
A006,Fair,Loss,Fair_Loss,4
A006,Fair,Gain,Fair_Gain,4
A006,Unfair,Loss,Unfair_Loss,5
A006,Unfair,Gain,Unfair_Gain,5
A007,Fair,Loss,Fair_Loss,5
A007,Fair,Gain,Fair_Gain,5
A007,Unfair,Loss,Unfair_Loss,6
A007,Unfair,Gain,Unfair_Gain,5
A008,Fair,Loss,Fair_Loss,4
A008,Fair,Gain,Fair_Gain,4
A008,Unfair,Loss,Unfair_Loss,5
A008,Unfair,Gain,Unfair_Gain,5
A009,Fair,Loss,Fair_Loss,4
A009,Fair,Gain,Fair_Gain,5
A009,Unfair,Loss,Unfair_Loss,5
A009,Unfair,Gain,Unfair_Gain,6
A010,Fair,Loss,Fair_Loss,3
A010,Fair,Gain,Fair_Gain,5
A010,Unfair,Loss,Unfair_Loss,5
A010,Unfair,Gain,Unfair_Gain,5
A011,Fair,Loss,Fair_Loss,4
A011,Fair,Gain,Fair_Gain,5
A011,Unfair,Loss,Unfair_Loss,6
A011,Unfair,Gain,Unfair_Gain,5
A012,Fair,Loss,Fair_Loss,4
A012,Fair,Gain,Fair_Gain,6
A012,Unfair,Loss,Unfair_Loss,6
A012,Unfair,Gain,Unfair_Gain,5
A013,Fair,Loss,Fair_Loss,5
A013,Fair,Gain,Fair_Gain,3
A013,Unfair,Loss,Unfair_Loss,6
A013,Unfair,Gain,Unfair_Gain,4
A014,Fair,Loss,Fair_Loss,4
A014,Fair,Gain,Fair_Gain,4
A014,Unfair,Loss,Unfair_Loss,6
A014,Unfair,Gain,Unfair_Gain,5
A015,Fair,Loss,Fair_Loss,4
A015,Fair,Gain,Fair_Gain,5
A015,Unfair,Loss,Unfair_Loss,6
A015,Unfair,Gain,Unfair_Gain,5
A016,Fair,Loss,Fair_Loss,4
A016,Fair,Gain,Fair_Gain,5
A016,Unfair,Loss,Unfair_Loss,6
A016,Unfair,Gain,Unfair_Gain,6
A017,Fair,Loss,Fair_Loss,4
A017,Fair,Gain,Fair_Gain,5
A017,Unfair,Loss,Unfair_Loss,6
A017,Unfair,Gain,Unfair_Gain,5
A018,Fair,Loss,Fair_Loss,5
A018,Fair,Gain,Fair_Gain,5
A018,Unfair,Loss,Unfair_Loss,6
A018,Unfair,Gain,Unfair_Gain,5
A019,Fair,Loss,Fair_Loss,5
A019,Fair,Gain,Fair_Gain,6
